memory_size,lambda_dis,L1_mean,L1_std,MAE,MAPE
8,0.0,5.157385021448135,0.6793643161654472,4.0992385149002075,12.625719606876373
8,0.1,5.14301709830761,0.8467681054025888,4.017579592764378,12.19048947095871
8,1.0,5.14764629304409,0.6850332021713257,4.008710533380508,12.405825406312943
8,10.0,5.226937681436539,0.6619632430374622,4.121564105153084,12.395446002483368
8,100.0,5.1843564957380295,0.6425682548433542,4.067583084106445,12.567640841007233
16,0.0,5.095999166369438,0.7603176590055227,3.969215303659439,12.441091984510422
16,0.1,5.327580943703651,0.6071970425546169,4.203319773077965,12.317655980587006
16,1.0,5.114311501383781,0.9426930546760559,3.985670432448387,12.302111834287643
16,10.0,5.16780748963356,0.6620872393250465,4.064885415136814,12.124843150377274
16,100.0,5.173056274652481,0.8223763667047024,4.045876823365688,12.543222308158875
32,0.0,5.039487108588219,0.5740861222147942,3.9983363077044487,12.00026124715805
32,0.1,5.155756771564484,0.6661759223788977,4.0345437452197075,12.28334829211235
32,1.0,5.215726122260094,0.5453069880604744,4.103925861418247,12.820732593536377
32,10.0,5.065825432538986,0.5755461100488901,4.013884998857975,12.0170958340168
32,100.0,5.180342197418213,0.5646227020770311,4.055762365460396,12.580524384975433
64,0.0,5.119419991970062,0.682061268016696,3.98292426019907,12.367144972085953
64,0.1,5.142573267221451,0.7816789206117392,4.012913629412651,12.081796675920486
64,1.0,5.098879113793373,0.7036984246224165,3.980056568980217,12.258774787187576
64,10.0,5.163824483752251,0.9510543290525675,4.027708433568478,12.629491090774536
64,100.0,5.140332207083702,0.7761948555707932,4.011240527033806,12.116069346666336
128,0.0,5.111509785056114,0.6729165744036436,3.9940685406327248,12.126840651035309
128,0.1,5.096888393163681,0.7975935377180576,3.966701738536358,12.134163826704025
128,1.0,5.059456899762154,0.6567723490297794,3.932201825082302,12.225369364023209
128,10.0,5.134361088275909,0.8563096262514591,4.023497253656387,12.196338176727295
128,100.0,5.07121816277504,0.6750462856143713,3.950912095606327,11.949526518583298
