memory_size,lambda_dis,L1_mean,L1_std,MAE,MAPE
8,0.0,6.455051153898239,0.7129456661641598,4.833025857806206,15.291047096252441
8,0.1,6.189798191189766,0.5537024233490229,4.577642530202866,14.304357767105103
8,1.0,6.2117863446474075,0.6312966533005238,4.599448665976524,14.26277905702591
8,10.0,6.225581094622612,0.5614636652171612,4.584670811891556,14.921072125434875
8,100.0,6.052173525094986,0.47283265739679337,4.4554924964904785,13.648629188537598
16,0.0,6.34357862174511,0.6485252920538187,4.71464030444622,15.42266309261322
16,0.1,6.218704059720039,0.43900872580707073,4.608803018927574,14.385178685188293
16,1.0,6.862114146351814,0.5251140426844358,5.2520498633384705,16.576726734638214
16,10.0,6.15540936589241,0.4754063952714205,4.538259953260422,14.53486829996109
16,100.0,6.179543659090996,0.5088732670992613,4.56763781607151,14.59142416715622
32,0.0,6.204018518328667,0.5825421866029501,4.597548693418503,15.065242350101471
32,0.1,6.3124629855155945,0.4450905742123723,4.7106098383665085,14.439529180526733
32,1.0,6.106799691915512,0.5812546331435442,4.492782652378082,13.946965336799622
32,10.0,6.173406168818474,0.45730365440249443,4.560806155204773,14.571407437324524
32,100.0,6.295431554317474,0.4209743393585086,4.710855484008789,13.930679857730865
64,0.0,6.118572428822517,0.4060204979032278,4.525206312537193,13.967472314834595
64,0.1,6.126091480255127,0.6264446303248405,4.500917121767998,14.432905614376068
64,1.0,6.0701291263103485,0.49610771238803864,4.473030865192413,13.845299184322357
64,10.0,6.195724979043007,0.43350464664399624,4.5766521245241165,14.901654422283173
64,100.0,6.316615492105484,0.6696084421128035,4.7101399302482605,14.639998972415924
128,0.0,6.209952086210251,0.5064813839271665,4.607739076018333,14.773741364479065
128,0.1,6.141646429896355,0.49949511885643005,4.539945051074028,14.618976414203644
128,1.0,6.239854618906975,0.6757083162665367,4.637134149670601,14.721368253231049
128,10.0,5.923382192850113,0.5302835209295154,4.435923248529434,14.154081046581268
128,100.0,6.199919730424881,0.6347852386534214,4.606459736824036,15.162049233913422
