memory_size,L1_mean,L1_std,MAE,MAPE
8,14.495918788015842,0.2285536826821044,1.674058074131608,3.3106062561273575
16,14.369549334049225,0.24802573933266103,1.628895797766745,3.23672778904438
32,14.536713913083076,0.2556468491675332,1.593864024616778,3.278964012861252
64,14.404858574271202,0.2574403145117685,1.6010531280189753,3.2192792743444443
128,14.454953201115131,0.23583853477612138,1.5751049797981977,3.1868480145931244
