memory_size,lambda_dis,L1_mean,L1_std,MAE,MAPE
8,0.0,14.42132742702961,0.20681705768220127,1.58056893479079,3.2096177339553833
8,0.1,14.411499120295048,0.2078020735643804,1.6499570105224848,3.272492066025734
8,1.0,14.563254944980145,0.18371887656394392,1.6363122873008251,3.3194538205862045
8,10.0,14.538717150688171,0.23068846052046865,1.6801931448280811,3.441724181175232
8,100.0,14.587471723556519,0.28928074974101037,1.6356906304135919,3.314867615699768
16,0.0,14.368471816182137,0.2165592391975224,1.5624055732041597,3.1479772180318832
16,0.1,14.480763860046864,0.2569517142837867,1.7666910160332918,3.390127792954445
16,1.0,14.567092202603817,0.22509230428840965,1.6115814791992307,3.3322252333164215
16,10.0,14.387364462018013,0.22180980583652854,1.5979757942259312,3.1690068542957306
16,100.0,14.466309443116188,0.2539168793009594,1.723107066936791,3.410230576992035
32,0.0,14.512957505881786,0.1938560870476067,1.6568041015416384,3.2879889011383057
32,0.1,14.73361599445343,0.19587085337843746,1.7146130595356226,3.4774843603372574
32,1.0,14.458936035633087,0.2438511741347611,1.6266368674114347,3.298170119524002
32,10.0,14.638205893337727,0.29031291091814637,1.6892350874841213,3.457869589328766
32,100.0,14.461041301488876,0.200701370020397,1.6898581441491842,3.344540297985077
64,0.0,14.51976229250431,0.21065042703412473,1.6051544770598412,3.3114060759544373
64,0.1,14.37175289541483,0.12023793131811544,1.6513765407726169,3.2513581216335297
64,1.0,14.60229568183422,0.19642518484033644,1.631354896351695,3.350749984383583
64,10.0,14.488967180252075,0.2506116150179878,1.6602907925844193,3.3501036465168
64,100.0,14.340399116277695,0.17068710050079972,1.5473576504737139,3.112191893160343
128,0.0,14.392460897564888,0.32342770777177066,1.5964756989851594,3.233082592487335
128,0.1,14.393909201025963,0.22801949246786535,1.5856045577675104,3.1574930995702744
128,1.0,14.432085186243057,0.3002646897220984,1.5984464306384325,3.2423827797174454
128,10.0,14.64469712972641,0.2943400328513235,1.68773359246552,3.4238342195749283
128,100.0,14.370305836200714,0.268396842177026,1.6144099636003375,3.209877759218216
